10;23;1;16.0;0;[3];[0];[7]
10;25;0;23.0;0;[3];[0];[7]
10;25;0;32.0;0;[3];[0];[7]
10;25;0;39.0;0;[3];[0];[7]
10;25;0;46.0;0;[3];[0];[7]
10;25;0;55.0;0;[3];[0];[7]
10;25;0;62.0;0;[3];[0];[7]
10;25;0;70.0;0;[3];[0];[7]
10;25;0;77.0;0;[3];[0];[7]
10;25;0;86.0;0;[3];[0];[7]
10;25;0;94.0;0;[3];[0];[7]
10;25;0;100.0;0;[3];[0];[7]
10;25;0;108.0;0;[3];[0];[7]
10;25;0;116.0;0;[3];[0];[7]
10;25;0;123.0;0;[3];[0];[7]
11;25;0;118.0;0;[3];[0];[7]
12;25;0;114.0;0;[3];[0];[7]
13;25;0;112.0;0;[3];[0];[7]
13;25;0;118.0;0;[3];[0];[7]
13;25;0;122.0;0;[3];[0];[7]
13;23;0;130.0;0;[3];[0];[7]
13;25;0;135.0;0;[3];[0];[7]
13;25;0;142.0;0;[3];[0];[7]
13;25;0;148.0;0;[3];[0];[7]
13;23;0;156.0;0;[3];[0];[7]
13;25;0;161.0;0;[3];[0];[7]
14;25;0;155.0;0;[0];[3];[7]
14;25;0;161.0;0;[0];[3];[7]
14;22;0;170.0;0;[0];[3];[7]
14;21;1;177.0;0;[0];[3];[7]
14;23;0;181.0;0;[0];[3];[7]
15;23;0;175.0;0;[0];[3];[7]
15;23;1;181.0;0;[0];[3];[7]
15;22;1;187.0;0;[0];[3];[7]
15;23;1;192.0;0;[0];[3];[7]
15;23;0;198.0;0;[0];[3];[7]
15;21;0;205.0;0;[0];[3];[7]
16;21;0;197.0;0;[0];[3];[7]
16;23;1;201.0;0;[0];[3];[7]
16;25;0;205.0;0;[0];[3];[7]
16;22;0;212.0;0;[0];[3];[7]
16;22;1;217.0;0;[0];[3];[7]
16;19;2;225.0;0;[0];[3];[7]
17;22;2;214.0;0;[0];[3];[7]
17;19;1;221.0;0;[0];[3];[7]
